Model,RMSE_mean,RMSE_std,R2_mean,R2_std
baseline,0.1513764125170308,0.005150851410184456,0.26092926732591,0.050196054520266
v2,0.2349506632627849,0.0015346153184902821,-0.7788350490213232,0.023213638610835884
