C,Story,Emotion,Val
0.014769925984471055,Boredom,Boredom,0.9991500209145577
0.014769925984471055,Boredom,Fear,0.00013369662556808056
0.014769925984471055,Boredom,Happiness,2.4644297004971124e-06
0.014769925984471055,Boredom,Joy,0.0001882455707913586
0.014769925984471055,Boredom,Pride,0.0001524207181900589
0.014769925984471055,Boredom,Sadness,9.77119281801785e-05
0.014769925984471055,Boredom,Shame,0.0002754398130124384
0.014769925984471055,Fear,Boredom,0.0004094338119593611
0.014769925984471055,Fear,Fear,0.9817786507616381
0.014769925984471055,Fear,Happiness,0.0005110354108806548
0.014769925984471055,Fear,Joy,0.0005917708262686701
0.014769925984471055,Fear,Pride,0.0007362137059332846
0.014769925984471055,Fear,Sadness,0.004785598401046372
0.014769925984471055,Fear,Shame,0.011187297082273975
0.014769925984471055,Happiness,Boredom,0.0040484859720102935
0.014769925984471055,Happiness,Fear,0.0003822277599253566
0.014769925984471055,Happiness,Happiness,0.9323820930239084
0.014769925984471055,Happiness,Joy,0.0006894257439960822
0.014769925984471055,Happiness,Pride,0.029075087819306903
0.014769925984471055,Happiness,Sadness,0.0007594111362146273
0.014769925984471055,Happiness,Shame,0.032663268544638475
0.014769925984471055,Joy,Boredom,0.0003592534082519065
0.014769925984471055,Joy,Fear,0.0012987054201197058
0.014769925984471055,Joy,Happiness,0.0009669472909374678
0.014769925984471055,Joy,Joy,0.6004991853310337
0.014769925984471055,Joy,Pride,0.3627002003323749
0.014769925984471055,Joy,Sadness,0.0008544881415352358
0.014769925984471055,Joy,Shame,0.03332122007574742
0.014769925984471055,Pride,Boredom,0.00024503068860574337
0.014769925984471055,Pride,Fear,0.0005586297791615768
0.014769925984471055,Pride,Happiness,0.0010239567698010056
0.014769925984471055,Pride,Joy,0.018785743013780148
0.014769925984471055,Pride,Pride,0.9311960136317997
0.014769925984471055,Pride,Sadness,0.000707250110293526
0.014769925984471055,Pride,Shame,0.04748337600655852
0.014769925984471055,Sadness,Boredom,0.00017088504746274133
0.014769925984471055,Sadness,Fear,0.005113014218751862
0.014769925984471055,Sadness,Happiness,0.000336028010094493
0.014769925984471055,Sadness,Joy,0.0006579644670651066
0.014769925984471055,Sadness,Pride,0.0007294960258047604
0.014769925984471055,Sadness,Sadness,0.9799870017701745
0.014769925984471055,Sadness,Shame,0.013005610460646355
0.014769925984471055,Shame,Boredom,0.0004908831198554367
0.014769925984471055,Shame,Fear,0.38301074713279665
0.014769925984471055,Shame,Happiness,0.0003598366229727527
0.014769925984471055,Shame,Joy,0.0005776631297161469
0.014769925984471055,Shame,Pride,0.0009015608304036497
0.014769925984471055,Shame,Sadness,0.002043352463201648
0.014769925984471055,Shame,Shame,0.6126159567010533
0.015228700449733876,Boredom,Boredom,0.9991445434058449
0.015228700449733876,Boredom,Fear,0.00013441178633501663
0.015228700449733876,Boredom,Happiness,2.5127138175094295e-06
0.015228700449733876,Boredom,Joy,0.00018726313490529403
0.015228700449733876,Boredom,Pride,0.00015283482710765151
0.015228700449733876,Boredom,Sadness,9.93623196113944e-05
0.015228700449733876,Boredom,Shame,0.00027907181237803874
0.015228700449733876,Fear,Boredom,0.00039979891094482926
0.015228700449733876,Fear,Fear,0.9818887342888545
0.015228700449733876,Fear,Happiness,0.0005114280536409815
0.015228700449733876,Fear,Joy,0.0005565750403053894
0.015228700449733876,Fear,Pride,0.0007272881283781145
0.015228700449733876,Fear,Sadness,0.004847936065677623
0.015228700449733876,Fear,Shame,0.011068239512198617
0.015228700449733876,Happiness,Boredom,0.004234500135697081
0.015228700449733876,Happiness,Fear,0.0003546613343584145
0.015228700449733876,Happiness,Happiness,0.9289696125465853
0.015228700449733876,Happiness,Joy,0.0006555556350023795
0.015228700449733876,Happiness,Pride,0.03109505909743887
0.015228700449733876,Happiness,Sadness,0.0007017192037439193
0.015228700449733876,Happiness,Shame,0.033988892047174334
0.015228700449733876,Joy,Boredom,0.00030309549712140315
0.015228700449733876,Joy,Fear,0.0011009389031987097
0.015228700449733876,Joy,Happiness,0.0008404534410791454
0.015228700449733876,Joy,Joy,0.53453067599303
0.015228700449733876,Joy,Pride,0.4295817546168338
0.015228700449733876,Joy,Sadness,0.0007692982479240771
0.015228700449733876,Joy,Shame,0.03287378330081254
0.015228700449733876,Pride,Boredom,0.00010556579103130313
0.015228700449733876,Pride,Fear,0.0004478596440636823
0.015228700449733876,Pride,Happiness,0.00014983275391863198
0.015228700449733876,Pride,Joy,0.007953338902671213
0.015228700449733876,Pride,Pride,0.9477173736075661
0.015228700449733876,Pride,Sadness,0.0004987453574251385
0.015228700449733876,Pride,Shame,0.04312728394332394
0.015228700449733876,Sadness,Boredom,0.0001673400075900001
0.015228700449733876,Sadness,Fear,0.005128069376934624
0.015228700449733876,Sadness,Happiness,0.00033955056080230015
0.015228700449733876,Sadness,Joy,0.0006567379746407114
0.015228700449733876,Sadness,Pride,0.0007243307761239863
0.015228700449733876,Sadness,Sadness,0.9805363826802285
0.015228700449733876,Sadness,Shame,0.012447588623680027
0.015228700449733876,Shame,Boredom,0.00048007234265147914
0.015228700449733876,Shame,Fear,0.38788414285078016
0.015228700449733876,Shame,Happiness,0.000364535501152181
0.015228700449733876,Shame,Joy,0.0005133723664120013
0.015228700449733876,Shame,Pride,0.0008911581001501681
0.015228700449733876,Shame,Sadness,0.002089778366789041
0.015228700449733876,Shame,Shame,0.6077769404720647
0.014858126319694622,Boredom,Boredom,0.9991425243863589
0.014858126319694622,Boredom,Fear,0.00013364854820726796
0.014858126319694622,Boredom,Happiness,2.5033381599438533e-06
0.014858126319694622,Boredom,Joy,0.00018779159327653028
0.014858126319694622,Boredom,Pride,0.00015430126459626368
0.014858126319694622,Boredom,Sadness,9.799672241526728e-05
0.014858126319694622,Boredom,Shame,0.0002812341469859487
0.014858126319694622,Fear,Boredom,0.00040733782810070944
0.014858126319694622,Fear,Fear,0.9818536846734067
0.014858126319694622,Fear,Happiness,0.0005063231863504279
0.014858126319694622,Fear,Joy,0.000569829961776856
0.014858126319694622,Fear,Pride,0.0007363001659032883
0.014858126319694622,Fear,Sadness,0.004789805860157609
0.014858126319694622,Fear,Shame,0.011136718324304112
0.014858126319694622,Happiness,Boredom,0.003907005866015211
0.014858126319694622,Happiness,Fear,0.00036836884904469956
0.014858126319694622,Happiness,Happiness,0.9340433208904758
0.014858126319694622,Happiness,Joy,0.0006646656267299606
0.014858126319694622,Happiness,Pride,0.029099382307493794
0.014858126319694622,Happiness,Sadness,0.0007108269416163429
0.014858126319694622,Happiness,Shame,0.031206429518623974
0.014858126319694622,Joy,Boredom,0.0003212845957487227
0.014858126319694622,Joy,Fear,0.0011030744726452711
0.014858126319694622,Joy,Happiness,0.0009040045670480382
0.014858126319694622,Joy,Joy,0.5610673815748879
0.014858126319694622,Joy,Pride,0.4027383363024213
0.014858126319694622,Joy,Sadness,0.00081227393243167
0.014858126319694622,Joy,Shame,0.03305364455481675
0.014858126319694622,Pride,Boredom,0.0001409992567661686
0.014858126319694622,Pride,Fear,0.00042024625736801903
0.014858126319694622,Pride,Happiness,0.0005542607850768055
0.014858126319694622,Pride,Joy,0.01112421498446146
0.014858126319694622,Pride,Pride,0.9442595727464251
0.014858126319694622,Pride,Sadness,0.0005326280979063956
0.014858126319694622,Pride,Shame,0.04296807787199591
0.014858126319694622,Sadness,Boredom,0.00017040809395755887
0.014858126319694622,Sadness,Fear,0.005133294209528511
0.014858126319694622,Sadness,Happiness,0.00033733896796449546
0.014858126319694622,Sadness,Joy,0.0006540117789238572
0.014858126319694622,Sadness,Pride,0.0007325519147482625
0.014858126319694622,Sadness,Sadness,0.9801409104241803
0.014858126319694622,Sadness,Shame,0.012831484610697413
0.014858126319694622,Shame,Boredom,0.0004947408441778163
0.014858126319694622,Shame,Fear,0.3905863322560028
0.014858126319694622,Shame,Happiness,0.00036284786538040136
0.014858126319694622,Shame,Joy,0.0005464297076367769
0.014858126319694622,Shame,Pride,0.0009168062066302646
0.014858126319694622,Shame,Sadness,0.0020820670671263183
0.014858126319694622,Shame,Shame,0.6050107760530452
0.0132717391354535,Boredom,Boredom,0.9991426675225991
