Story,Emotion,Val
Happiness,Happiness,0.7986614699747708
Happiness,Joy,0.0012812033479076715
Happiness,Pride,0.02491552094795194
Happiness,Boredom,0.14373004943019724
Happiness,Fear,0.0005390691636855963
Happiness,Sadness,0.0009937064950937843
Happiness,Shame,0.029878980640392953
Joy,Happiness,0.0011767770057807372
Joy,Joy,0.6403229692527438
Joy,Pride,0.31686400488800504
Joy,Boredom,0.00042362727155792387
Joy,Fear,0.0013041338670115585
Joy,Sadness,0.0009965055260632613
Joy,Shame,0.03891198218883778
Pride,Happiness,0.017669857313772543
Pride,Joy,0.03669961647701884
Pride,Pride,0.7730422854198976
Pride,Boredom,0.021928733939341315
Pride,Fear,0.004883616861064917
Pride,Sadness,0.004755488942651413
Pride,Shame,0.14102040104625335
Boredom,Happiness,2.4567975626227037e-06
Boredom,Joy,0.0001864136712929639
Boredom,Pride,0.00015113254458196535
Boredom,Boredom,0.9991425485422362
Boredom,Fear,0.00013397338123912383
Boredom,Sadness,9.494696607227846e-05
Boredom,Shame,0.0002885280970149594
Fear,Happiness,0.0005196951912347982
Fear,Joy,0.000618608718667027
Fear,Pride,0.0007405867638533692
Fear,Boredom,0.00043061013648072727
Fear,Fear,0.980836947789443
Fear,Sadness,0.005008438467499728
Fear,Shame,0.011845112932821401
Sadness,Happiness,0.00046494804639849374
Sadness,Joy,0.0007251615149149981
Sadness,Pride,0.0009104322766332649
Sadness,Boredom,0.00037470313321579624
Sadness,Fear,0.0050975931693512805
Sadness,Sadness,0.9725977066849386
Sadness,Shame,0.01982945517454749
Shame,Happiness,0.0002644746427176516
Shame,Joy,0.0004310391512566635
Shame,Pride,0.0007904672190945818
Shame,Boredom,0.0003735161791316203
Shame,Fear,0.3159469504718591
Shame,Sadness,0.0015438288443115579
Shame,Shame,0.6806497234916289
