C,Story,Emotion,Val
0.014000920562479377,Boredom,Boredom,0.5572211912398719
0.014000920562479377,Boredom,Fear,0.061832116243897055
0.014000920562479377,Boredom,Happiness,0.044479886703829165
0.014000920562479377,Boredom,Joy,0.17025040367326022
0.014000920562479377,Boredom,Pride,0.04124610994246782
0.014000920562479377,Boredom,Sadness,0.01520410965609628
0.014000920562479377,Boredom,Shame,0.10976618254057721
0.014000920562479377,Fear,Boredom,0.0019545904990211685
0.014000920562479377,Fear,Fear,0.9948656857170095
0.014000920562479377,Fear,Happiness,0.000567325217428843
0.014000920562479377,Fear,Joy,0.0007893149846195811
0.014000920562479377,Fear,Pride,0.0005030640646609131
0.014000920562479377,Fear,Sadness,0.0003613806944615596
0.014000920562479377,Fear,Shame,0.0009586388227981517
0.014000920562479377,Happiness,Boredom,0.9697033500435073
0.014000920562479377,Happiness,Fear,0.0001363689322404052
0.014000920562479377,Happiness,Happiness,0.02556196374080733
0.014000920562479377,Happiness,Joy,0.0009555501168383314
0.014000920562479377,Happiness,Pride,0.0028617655903420557
0.014000920562479377,Happiness,Sadness,4.5960387078189604e-05
0.014000920562479377,Happiness,Shame,0.0007350411891863517
0.014000920562479377,Joy,Boredom,0.001312460819348461
0.014000920562479377,Joy,Fear,0.012620401674931692
0.014000920562479377,Joy,Happiness,0.003273268552333807
0.014000920562479377,Joy,Joy,0.047979910330546084
0.014000920562479377,Joy,Pride,0.3076636502551103
0.014000920562479377,Joy,Sadness,0.005548394236542616
0.014000920562479377,Joy,Shame,0.621601914131187
0.014000920562479377,Pride,Boredom,0.002123308971353547
0.014000920562479377,Pride,Fear,0.00017547162578749337
0.014000920562479377,Pride,Happiness,0.025415199634889217
0.014000920562479377,Pride,Joy,0.0005266134205549682
0.014000920562479377,Pride,Pride,0.7545808433018406
0.014000920562479377,Pride,Sadness,0.0036931562787271602
0.014000920562479377,Pride,Shame,0.21348540676684669
0.014000920562479377,Sadness,Boredom,0.04687619401240512
0.014000920562479377,Sadness,Fear,0.7125821563527092
0.014000920562479377,Sadness,Happiness,0.010308003305712164
0.014000920562479377,Sadness,Joy,0.0434276584275669
0.014000920562479377,Sadness,Pride,0.01840261538956246
0.014000920562479377,Sadness,Sadness,0.008023612041348408
0.014000920562479377,Sadness,Shame,0.16037976047069613
0.014000920562479377,Shame,Boredom,0.0003177349128930326
0.014000920562479377,Shame,Fear,0.00020455660678383224
0.014000920562479377,Shame,Happiness,0.00017454073178279077
0.014000920562479377,Shame,Joy,0.00019946824197945376
0.014000920562479377,Shame,Pride,0.04610998358823056
0.014000920562479377,Shame,Sadness,0.0005414258620775835
0.014000920562479377,Shame,Shame,0.9524522900562529
0.014223560689436863,Boredom,Boredom,0.5562504750591654
0.014223560689436863,Boredom,Fear,0.06168460926823633
0.014223560689436863,Boredom,Happiness,0.04510337946563803
0.014223560689436863,Boredom,Joy,0.16972996398289553
0.014223560689436863,Boredom,Pride,0.04300606197768318
0.014223560689436863,Boredom,Sadness,0.015209317772467158
0.014223560689436863,Boredom,Shame,0.10901619247391445
0.014223560689436863,Fear,Boredom,0.001977338560441922
0.014223560689436863,Fear,Fear,0.9947983451163365
0.014223560689436863,Fear,Happiness,0.0005697668564927854
0.014223560689436863,Fear,Joy,0.000798137398412828
0.014223560689436863,Fear,Pride,0.0005168000662943546
0.014223560689436863,Fear,Sadness,0.0003663557582292929
0.014223560689436863,Fear,Shame,0.0009732562437927033
0.014223560689436863,Happiness,Boredom,0.9701692019617079
0.014223560689436863,Happiness,Fear,0.00013277291338002577
0.014223560689436863,Happiness,Happiness,0.025062293496181557
0.014223560689436863,Happiness,Joy,0.0009494583630354016
0.014223560689436863,Happiness,Pride,0.0028880646004893424
0.014223560689436863,Happiness,Sadness,4.593299045978554e-05
0.014223560689436863,Happiness,Shame,0.0007522756747459921
0.014223560689436863,Joy,Boredom,0.001702882264472875
0.014223560689436863,Joy,Fear,0.013511989964930258
0.014223560689436863,Joy,Happiness,0.004027255761942358
0.014223560689436863,Joy,Joy,0.05470988408736874
0.014223560689436863,Joy,Pride,0.31022935873602625
0.014223560689436863,Joy,Sadness,0.00636535305383404
0.014223560689436863,Joy,Shame,0.6094532761314256
0.014223560689436863,Pride,Boredom,0.0021879811388801885
0.014223560689436863,Pride,Fear,0.00019267574091514516
0.014223560689436863,Pride,Happiness,0.02863555696838999
0.014223560689436863,Pride,Joy,0.0006662741680823157
0.014223560689436863,Pride,Pride,0.7055173114499543
0.014223560689436863,Pride,Sadness,0.0035414108875488266
0.014223560689436863,Pride,Shame,0.2592587896462295
0.014223560689436863,Sadness,Boredom,0.04772247619476968
0.014223560689436863,Sadness,Fear,0.7081539674788537
0.014223560689436863,Sadness,Happiness,0.010324063357860212
0.014223560689436863,Sadness,Joy,0.044039793783671594
0.014223560689436863,Sadness,Pride,0.01936797649802393
0.014223560689436863,Sadness,Sadness,0.008218471558328635
0.014223560689436863,Sadness,Shame,0.16217325112849268
0.014223560689436863,Shame,Boredom,0.00041930778591721754
0.014223560689436863,Shame,Fear,0.0003449699524380736
0.014223560689436863,Shame,Happiness,0.0003294050312597516
0.014223560689436863,Shame,Joy,0.00047760925362805415
0.014223560689436863,Shame,Pride,0.06947588106898951
0.014223560689436863,Shame,Sadness,0.0008327866086341842
0.014223560689436863,Shame,Shame,0.928120040299133
0.013794854013697918,Boredom,Boredom,0.5579656407085488
0.013794854013697918,Boredom,Fear,0.06126932595229142
0.013794854013697918,Boredom,Happiness,0.043586084074864084
0.013794854013697918,Boredom,Joy,0.1695183421929041
0.013794854013697918,Boredom,Pride,0.04298917887054353
0.013794854013697918,Boredom,Sadness,0.014981986419069903
0.013794854013697918,Boredom,Shame,0.10968944178177832
0.013794854013697918,Fear,Boredom,0.0019453963889297468
0.013794854013697918,Fear,Fear,0.9948746797533987
0.013794854013697918,Fear,Happiness,0.000566776276736469
0.013794854013697918,Fear,Joy,0.0007899649180812591
0.013794854013697918,Fear,Pride,0.000508826140458601
0.013794854013697918,Fear,Sadness,0.00036065103642855096
0.013794854013697918,Fear,Shame,0.0009537054859667409
0.013794854013697918,Happiness,Boredom,0.9679647978960817
0.013794854013697918,Happiness,Fear,3.4584215679707566e-05
0.013794854013697918,Happiness,Happiness,0.027395768133928095
0.013794854013697918,Happiness,Joy,0.0009425896324976578
0.013794854013697918,Happiness,Pride,0.002848798273642287
0.013794854013697918,Happiness,Sadness,4.497035239807351e-05
0.013794854013697918,Happiness,Shame,0.0007684914957728791
0.013794854013697918,Joy,Boredom,0.0014830149808274116
0.013794854013697918,Joy,Fear,0.012678931675943009
0.013794854013697918,Joy,Happiness,0.003581313096845497
0.013794854013697918,Joy,Joy,0.05062719552587027
0.013794854013697918,Joy,Pride,0.2951438463809503
0.013794854013697918,Joy,Sadness,0.00579868456266787
0.013794854013697918,Joy,Shame,0.6306870137768956
0.013794854013697918,Pride,Boredom,0.002183642707632254
0.013794854013697918,Pride,Fear,0.00018455848677192594
0.013794854013697918,Pride,Happiness,0.027819798908885165
0.013794854013697918,Pride,Joy,0.0006340494021666239
0.013794854013697918,Pride,Pride,0.7182072417818698
0.013794854013697918,Pride,Sadness,0.0036610078782259433
0.013794854013697918,Pride,Shame,0.24730970083444836
0.013794854013697918,Sadness,Boredom,0.046726811770759664
0.013794854013697918,Sadness,Fear,0.7111504807910847
0.013794854013697918,Sadness,Happiness,0.010248266451397108
0.013794854013697918,Sadness,Joy,0.04312386274548514
0.013794854013697918,Sadness,Pride,0.01902684264956886
0.013794854013697918,Sadness,Sadness,0.007989315100141812
0.013794854013697918,Sadness,Shame,0.1617344204915628
0.013794854013697918,Shame,Boredom,0.0003562147155063928
0.013794854013697918,Shame,Fear,0.0002535891135170458
0.013794854013697918,Shame,Happiness,0.00023034638855699033
0.013794854013697918,Shame,Joy,0.0003345010524658581
0.013794854013697918,Shame,Pride,0.055063829603601074
0.013794854013697918,Shame,Sadness,0.0006631645104388684
0.013794854013697918,Shame,Shame,0.9430983546159137
0.01333354209358265,Boredom,Boredom,0.5578569249136396
0.01333354209358265,Boredom,Fear,0.05999294193239614
0.01333354209358265,Boredom,Happiness,0.04235943173520236
0.01333354209358265,Boredom,Joy,0.16764798291008234
0.01333354209358265,Boredom,Pride,0.04693106142025202
0.01333354209358265,Boredom,Sadness,0.014555229585237304
0.01333354209358265,Boredom,Shame,0.1106564275031904
0.01333354209358265,Fear,Boredom,0.0019257425542688203
0.01333354209358265,Fear,Fear,0.9949052446997014
0.01333354209358265,Fear,Happiness,0.0005696191672864502
0.01333354209358265,Fear,Joy,0.0007831995534461688
0.01333354209358265,Fear,Pride,0.0005025042611268516
0.01333354209358265,Fear,Sadness,0.00035578496702808976
0.01333354209358265,Fear,Shame,0.000957904797142096
0.01333354209358265,Happiness,Boredom,0.967871491037401
0.01333354209358265,Happiness,Fear,3.374983654966308e-05
0.01333354209358265,Happiness,Happiness,0.027522943337380895
0.01333354209358265,Happiness,Joy,0.0009339960308426659
0.01333354209358265,Happiness,Pride,0.0027816608823099877
0.01333354209358265,Happiness,Sadness,4.37803289725226e-05
0.01333354209358265,Happiness,Shame,0.000812378546543377
0.01333354209358265,Joy,Boredom,0.0024979783858937875
0.01333354209358265,Joy,Fear,0.01739288708759186
0.01333354209358265,Joy,Happiness,0.005737137180536083
0.01333354209358265,Joy,Joy,0.06846067159257989
0.01333354209358265,Joy,Pride,0.3655363185244751
0.01333354209358265,Joy,Sadness,0.008476388139644934
0.01333354209358265,Joy,Shame,0.5318986190892782
0.01333354209358265,Pride,Boredom,0.0022371991404415864
0.01333354209358265,Pride,Fear,0.00017954955649864885
0.01333354209358265,Pride,Happiness,0.02857424714381335
0.01333354209358265,Pride,Joy,0.0006865279716036799
0.01333354209358265,Pride,Pride,0.7124776198702508
0.01333354209358265,Pride,Sadness,0.0036434879988772053
0.01333354209358265,Pride,Shame,0.25220136831851475
0.01333354209358265,Sadness,Boredom,0.046344324275472276
0.01333354209358265,Sadness,Fear,0.7035559953274226
0.01333354209358265,Sadness,Happiness,0.010048122473811486
0.01333354209358265,Sadness,Joy,0.04197291110357712
0.01333354209358265,Sadness,Pride,0.02057388264588335
0.01333354209358265,Sadness,Sadness,0.007869183547802182
0.01333354209358265,Sadness,Shame,0.169635580626031
0.01333354209358265,Shame,Boredom,0.0004736863701731556
0.01333354209358265,Shame,Fear,0.0004810605771521731
0.01333354209358265,Shame,Happiness,0.0003308862262625414
0.01333354209358265,Shame,Joy,0.0009200223326549793
0.01333354209358265,Shame,Pride,0.1492893061489868
0.01333354209358265,Shame,Sadness,0.0016684579671785947
0.01333354209358265,Shame,Shame,0.8468365803775917
0.013659755539622384,Boredom,Boredom,0.564211930098753
0.013659755539622384,Boredom,Fear,0.060449947132154465
0.013659755539622384,Boredom,Happiness,0.04258828703754893
0.013659755539622384,Boredom,Joy,0.1687990191993129
0.013659755539622384,Boredom,Pride,0.040425426671943536
0.013659755539622384,Boredom,Sadness,0.01476078049438665
0.013659755539622384,Boredom,Shame,0.10876460936589982
0.013659755539622384,Fear,Boredom,0.001949979276178488
0.013659755539622384,Fear,Fear,0.9948937308915674
0.013659755539622384,Fear,Happiness,0.0005685366669672273
0.013659755539622384,Fear,Joy,0.0007907280485025054
0.013659755539622384,Fear,Pride,0.0004950777788575686
0.013659755539622384,Fear,Sadness,0.0003605769434626102
0.013659755539622384,Fear,Shame,0.000941370394464133
0.013659755539622384,Happiness,Boredom,0.9676825054121787
0.013659755539622384,Happiness,Fear,0.00015116596887076712
0.013659755539622384,Happiness,Happiness,0.027565663965063558
0.013659755539622384,Happiness,Joy,0.0009371559507948611
0.013659755539622384,Happiness,Pride,0.00286441823983953
0.013659755539622384,Happiness,Sadness,4.534239324853331e-05
0.013659755539622384,Happiness,Shame,0.0007537480700041871
0.013659755539622384,Joy,Boredom,0.00098668609504409
0.013659755539622384,Joy,Fear,0.010895539597927325
0.013659755539622384,Joy,Happiness,0.0025694428856189787
0.013659755539622384,Joy,Joy,0.04081450730851075
0.013659755539622384,Joy,Pride,0.2816040016957627
0.013659755539622384,Joy,Sadness,0.004725262077795483
0.013659755539622384,Joy,Shame,0.658404560339341
0.013659755539622384,Pride,Boredom,0.0021312370655304155
0.013659755539622384,Pride,Fear,0.00017362514997749503
0.013659755539622384,Pride,Happiness,0.026865792152391186
0.013659755539622384,Pride,Joy,0.0005163507453430962
0.013659755539622384,Pride,Pride,0.7446101095983558
0.013659755539622384,Pride,Sadness,0.003737902499297535
0.013659755539622384,Pride,Shame,0.22196498278910412
0.013659755539622384,Sadness,Boredom,0.04706303412267296
0.013659755539622384,Sadness,Fear,0.7071407756103346
0.013659755539622384,Sadness,Happiness,0.010239990428389838
0.013659755539622384,Sadness,Joy,0.042924613325070506
0.013659755539622384,Sadness,Pride,0.018307027080383426
0.013659755539622384,Sadness,Sadness,0.007981708433060083
0.013659755539622384,Sadness,Shame,0.16634285100008847
0.013659755539622384,Shame,Boredom,0.0002862612946516056
0.013659755539622384,Shame,Fear,0.00015635163258995874
0.013659755539622384,Shame,Happiness,0.00012838673225296077
0.013659755539622384,Shame,Joy,0.00013783553923870157
0.013659755539622384,Shame,Pride,0.0377400511694867
0.013659755539622384,Shame,Sadness,0.00044019940229534835
0.013659755539622384,Shame,Shame,0.9611109142294851
0.013257919668485713,Boredom,Boredom,0.5631338735962912
0.013257919668485713,Boredom,Fear,0.06021883260010918
0.013257919668485713,Boredom,Happiness,0.04190664655362715
0.013257919668485713,Boredom,Joy,0.16913858157097125
0.013257919668485713,Boredom,Pride,0.040757799322808416
0.013257919668485713,Boredom,Sadness,0.014728502322752914
0.013257919668485713,Boredom,Shame,0.1101157640334395
0.013257919668485713,Fear,Boredom,0.001937976399866508
0.013257919668485713,Fear,Fear,0.9949065306361435
0.013257919668485713,Fear,Happiness,0.000572451390951746
0.013257919668485713,Fear,Joy,0.0007835246844417576
