Model,RMSE_mean,RMSE_std,R2_mean,R2_std
baseline,0.1234064701630482,0.018375640227898324,0.7412097801611828,0.07986727702182118
v2,0.22854335782790067,0.007478921541754059,0.12713874561851596,0.05617795601498169
