Story,Emotion,Val
Happiness,Happiness,0.3172985738685176
Happiness,Joy,0.06317403949758935
Happiness,Pride,0.20634274777598685
Happiness,Boredom,0.23608324915931808
Happiness,Fear,0.009270780892506865
Happiness,Sadness,0.01682885271653965
Happiness,Shame,0.15100175608954153
Joy,Happiness,0.09731157233264115
Joy,Joy,0.34537383539561395
Joy,Pride,0.2744847597404398
Joy,Boredom,0.009667431141462075
Joy,Fear,0.039263254134046216
Joy,Sadness,0.01972601172351744
Joy,Shame,0.2141731355322795
Pride,Happiness,0.17587119432556483
Pride,Joy,0.27274353127280704
Pride,Pride,0.25910034389352354
Pride,Boredom,0.03450265738673372
Pride,Fear,0.026778312954400352
Pride,Sadness,0.02278210824567301
Pride,Shame,0.2082218519212976
Boredom,Happiness,0.3232778856654107
Boredom,Joy,0.019490327452638786
Boredom,Pride,0.06652792889577794
Boredom,Boredom,0.5090079352827744
Boredom,Fear,0.00791224065403125
Boredom,Sadness,0.017997373772292415
Boredom,Shame,0.055786308277074426
Fear,Happiness,0.011304346755539863
Fear,Joy,0.03343349711072005
Fear,Pride,0.02102345530308271
Fear,Boredom,0.0031898923194027887
Fear,Fear,0.5345910102245774
Fear,Sadness,0.26052637266705336
Fear,Shame,0.1359314256196238
Sadness,Happiness,0.025300613431838655
Sadness,Joy,0.01465820560612602
Sadness,Pride,0.02028692481424486
Sadness,Boredom,0.012762747077736022
Sadness,Fear,0.27964920551340305
Sadness,Sadness,0.5172549717000768
Sadness,Shame,0.1300873318565745
Shame,Happiness,0.017769144484223075
Shame,Joy,0.05711514481399543
Shame,Pride,0.039552431573030476
Shame,Boredom,0.005707567936732197
Shame,Fear,0.4759720934782303
Shame,Sadness,0.22204610051217388
Shame,Shame,0.18183751720161467
