ID;Group;Story;Em.Happiness;Em.Joy;Em.Pride;Em.Boredom;Em.Fear;Em.Sadness;Em.Shame;sum;Emo.Happiness;Emo.Joy;Emo.Pride;Emo.Boredom;Emo.Fear;Emo.Sadness;Emo.Shame
5d10a559017b2a000179ecb6;3;Boredom;4;4;4;10;0;0;0;22;0.181818182;0.181818182;0.181818182;0.454545455;0;0;0
5b905c5263d5cc000128a8fc;3;Boredom;0;0;0;6;0;0;0;6;0;0;0;1;0;0;0
615b66838c3f51107d91a873;3;Joy;8;8;4;1;2;1;2;26;0.307692308;0.307692308;0.153846154;0.038461538;0.076923077;0.038461538;0.076923077
5d10a559017b2a000179ecb6;3;Joy;9;2;9;8;0;8;1;37;0.243243243;0.054054054;0.243243243;0.216216216;0;0.216216216;0.027027027
5b905c5263d5cc000128a8fc;3;Joy;10;10;0;0;0;0;0;20;0.5;0.5;0;0;0;0;0
615b66838c3f51107d91a873;3;Shame;1;1;1;1;4;5;9;22;0.045454545;0.045454545;0.045454545;0.045454545;0.181818182;0.227272727;0.409090909
5d10a559017b2a000179ecb6;3;Shame;0;1;0;0;10;9;10;30;0;0.033333333;0;0;0.333333333;0.3;0.333333333
5b905c5263d5cc000128a8fc;3;Shame;0;0;0;0;10;10;10;30;0;0;0;0;0.333333333;0.333333333;0.333333333
615b66838c3f51107d91a873;3;Happiness;8;8;7;0;0;0;0;23;0.347826087;0.347826087;0.304347826;0;0;0;0
5d10a559017b2a000179ecb6;3;Happiness;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
5b905c5263d5cc000128a8fc;3;Happiness;7;6;0;0;0;0;0;13;0.538461538;0.461538462;0;0;0;0;0
615b66838c3f51107d91a873;3;Fear;0;0;0;0;10;2;0;12;0;0;0;0;0.833333333;0.166666667;0
5d10a559017b2a000179ecb6;3;Fear;0;0;0;0;10;10;10;30;0;0;0;0;0.333333333;0.333333333;0.333333333
5b905c5263d5cc000128a8fc;3;Fear;0;0;0;0;10;10;0;20;0;0;0;0;0.5;0.5;0
615b66838c3f51107d91a873;3;Pride;8;8;8;0;0;0;0;24;0.333333333;0.333333333;0.333333333;0;0;0;0
5d10a559017b2a000179ecb6;3;Pride;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
5b905c5263d5cc000128a8fc;3;Pride;10;10;5;0;0;0;0;25;0.4;0.4;0.2;0;0;0;0
6100fde50a5b468af7accaa3;4;Happiness;9;8;8;0;3;0;0;28;0.321428571;0.285714286;0.285714286;0;0.107142857;0;0
5efcf31ebc3f2011d263bddb;4;Happiness;6;5;4;1;0;1;1;18;0.333333333;0.277777778;0.222222222;0.055555556;0;0.055555556;0.055555556
56b0e4d16399f9000ad8d48f;4;Happiness;8;6;8;5;5;1;0;33;0.242424242;0.181818182;0.242424242;0.151515152;0.151515152;0.03030303;0
6100fde50a5b468af7accaa3;4;Pride;10;10;10;0;2;0;0;32;0.3125;0.3125;0.3125;0;0.0625;0;0
5efcf31ebc3f2011d263bddb;4;Pride;8;8;9;0;0;0;0;25;0.32;0.32;0.36;0;0;0;0
56b0e4d16399f9000ad8d48f;4;Pride;8;8;8;1;0;0;0;25;0.32;0.32;0.32;0.04;0;0;0
6100fde50a5b468af7accaa3;4;Joy;8;9;7;1;0;0;0;25;0.32;0.36;0.28;0.04;0;0;0
5efcf31ebc3f2011d263bddb;4;Joy;9;9;9;1;1;0;0;29;0.310344828;0.310344828;0.310344828;0.034482759;0.034482759;0;0
56b0e4d16399f9000ad8d48f;4;Joy;7;7;7;3;0;0;0;24;0.291666667;0.291666667;0.291666667;0.125;0;0;0
6100fde50a5b468af7accaa3;4;Fear;0;0;0;0;10;8;0;18;0;0;0;0;0.555555556;0.444444444;0
5efcf31ebc3f2011d263bddb;4;Fear;0;0;0;1;9;5;2;17;0;0;0;0.058823529;0.529411765;0.294117647;0.117647059
56b0e4d16399f9000ad8d48f;4;Fear;0;0;0;0;10;0;1;11;0;0;0;0;0.909090909;0;0.090909091
6100fde50a5b468af7accaa3;4;Sadness;0;0;0;0;0;10;0;10;0;0;0;0;0;1;0
5efcf31ebc3f2011d263bddb;4;Sadness;0;0;3;1;3;9;4;20;0;0;0.15;0.05;0.15;0.45;0.2
56b0e4d16399f9000ad8d48f;4;Sadness;0;1;5;0;0;7;0;13;0;0.076923077;0.384615385;0;0;0.538461538;0
6100fde50a5b468af7accaa3;4;Shame;0;0;0;0;6;5;9;20;0;0;0;0;0.3;0.25;0.45
5efcf31ebc3f2011d263bddb;4;Shame;0;0;0;0;7;4;10;21;0;0;0;0;0.333333333;0.19047619;0.476190476
56b0e4d16399f9000ad8d48f;4;Shame;0;0;0;0;8;5;10;23;0;0;0;0;0.347826087;0.217391304;0.434782609
6100fde50a5b468af7accaa3;4;Boredom;0;0;0;9;0;2;0;11;0;0;0;0.818181818;0;0.181818182;0
5efcf31ebc3f2011d263bddb;4;Boredom;1;1;1;10;0;3;2;18;0.055555556;0.055555556;0.055555556;0.555555556;0;0.166666667;0.111111111
56b0e4d16399f9000ad8d48f;4;Boredom;1;1;1;8;0;0;0;11;0.090909091;0.090909091;0.090909091;0.727272727;0;0;0
5b1081bf1e55760001b9c65f;5;Shame;0;0;0;0;6;4;8;18;0;0;0;0;0.333333333;0.222222222;0.444444444
5d95d2bbd84e9e001607bfea;5;Shame;0;0;0;2;8;6;10;26;0;0;0;0.076923077;0.307692308;0.230769231;0.384615385
5ba53688bf3b9d000152127c;5;Shame;0;0;0;2;9;0;10;21;0;0;0;0.095238095;0.428571429;0;0.476190476
5b1081bf1e55760001b9c65f;5;Fear;0;0;0;0;8;4;0;12;0;0;0;0;0.666666667;0.333333333;0
5d95d2bbd84e9e001607bfea;5;Fear;0;0;0;0;9;3;3;15;0;0;0;0;0.6;0.2;0.2
5ba53688bf3b9d000152127c;5;Fear;0;0;0;0;9;3;7;19;0;0;0;0;0.473684211;0.157894737;0.368421053
5b1081bf1e55760001b9c65f;5;Boredom;4;2;3;7;0;4;0;20;0.2;0.1;0.15;0.35;0;0.2;0
5d95d2bbd84e9e001607bfea;5;Boredom;3;0;3;7;0;2;0;15;0.2;0;0.2;0.466666667;0;0.133333333;0
5ba53688bf3b9d000152127c;5;Boredom;0;0;1;10;0;4;0;15;0;0;0.066666667;0.666666667;0;0.266666667;0
5b1081bf1e55760001b9c65f;5;Pride;8;8;9;0;0;0;0;25;0.32;0.32;0.36;0;0;0;0
5d95d2bbd84e9e001607bfea;5;Pride;8;6;8;0;0;0;0;22;0.363636364;0.272727273;0.363636364;0;0;0;0
5ba53688bf3b9d000152127c;5;Pride;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
5b1081bf1e55760001b9c65f;5;Sadness;3;3;0;0;2;6;0;14;0.214285714;0.214285714;0;0;0.142857143;0.428571429;0
5d95d2bbd84e9e001607bfea;5;Sadness;1;0;1;0;4;9;0;15;0.066666667;0;0.066666667;0;0.266666667;0.6;0
5ba53688bf3b9d000152127c;5;Sadness;0;0;0;0;6;10;0;16;0;0;0;0;0.375;0.625;0
5b1081bf1e55760001b9c65f;5;Happiness;9;9;9;0;0;0;0;27;0.333333333;0.333333333;0.333333333;0;0;0;0
5d95d2bbd84e9e001607bfea;5;Happiness;8;5;7;0;0;0;0;20;0.4;0.25;0.35;0;0;0;0
5ba53688bf3b9d000152127c;5;Happiness;10;10;10;0;2;0;0;32;0.3125;0.3125;0.3125;0;0.0625;0;0
5b1081bf1e55760001b9c65f;5;Joy;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
5d95d2bbd84e9e001607bfea;5;Joy;8;8;8;0;3;1;1;29;0.275862069;0.275862069;0.275862069;0;0.103448276;0.034482759;0.034482759
5ba53688bf3b9d000152127c;5;Joy;10;10;8;0;0;0;0;28;0.357142857;0.357142857;0.285714286;0;0;0;0
60ce6161d5b14a77f8b3ed34;6;Sadness;3;6;7;1;3;9;1;30;0.1;0.2;0.233333333;0.033333333;0.1;0.3;0.033333333
61487449c4291d9ddc99b8b1;6;Sadness;0;0;0;0;10;10;10;30;0;0;0;0;0.333333333;0.333333333;0.333333333
595148fc1ebf4800018a4fae;6;Sadness;0;2;5;0;5;9;0;21;0;0.095238095;0.238095238;0;0.238095238;0.428571429;0
60ce6161d5b14a77f8b3ed34;6;Joy;7;7;7;1;1;1;1;25;0.28;0.28;0.28;0.04;0.04;0.04;0.04
61487449c4291d9ddc99b8b1;6;Joy;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
595148fc1ebf4800018a4fae;6;Joy;8;8;9;0;0;0;0;25;0.32;0.32;0.36;0;0;0;0
