Emotion,Suddenness,Goal_relevance,Conduciveness,Power
Boredom,0.0,2.6645352591003756e-16,0.5000000000000001,0.6000000000000001
Fear,0.80085995700215,1,0.0,0.0
Happiness,0.0,0.6680268000000005,0.8340134000000002,0.9491998947368422
Joy,0.8022598870056497,1,1.0,0.0
Pride,0.5012338062924121,1,1.0,0.04358613329008814
Sadness,0.2023398830058497,1,0.0,0.0
Shame,0.7945659377070908,1,0.0,0.306108580719942
