C,Story,Emotion,Val
0.0032001739699561954,Boredom,Boredom,0.5152395083793047
0.0032001739699561954,Boredom,Fear,0.00589910807772891
0.0032001739699561954,Boredom,Happiness,0.3332503531345594
0.0032001739699561954,Boredom,Joy,0.015412446192730129
0.0032001739699561954,Boredom,Pride,0.06338454176938672
0.0032001739699561954,Boredom,Sadness,0.014758128242854681
0.0032001739699561954,Boredom,Shame,0.052055914203435485
0.0032001739699561954,Fear,Boredom,0.002288330777069065
0.0032001739699561954,Fear,Fear,0.5602783453747089
0.0032001739699561954,Fear,Happiness,0.007553662601903011
0.0032001739699561954,Fear,Joy,0.02998426034200664
0.0032001739699561954,Fear,Pride,0.018818875718043505
0.0032001739699561954,Fear,Sadness,0.2541112874345381
0.0032001739699561954,Fear,Shame,0.12696523775173071
0.0032001739699561954,Happiness,Boredom,0.17682951001646816
0.0032001739699561954,Happiness,Fear,0.006648906355148665
0.0032001739699561954,Happiness,Happiness,0.32509503631530673
0.0032001739699561954,Happiness,Joy,0.06006210024036336
0.0032001739699561954,Happiness,Pride,0.23989085879973263
0.0032001739699561954,Happiness,Sadness,0.014470336898111433
0.0032001739699561954,Happiness,Shame,0.17700325137486914
0.0032001739699561954,Joy,Boredom,0.007971885788860034
0.0032001739699561954,Joy,Fear,0.03623680515677146
0.0032001739699561954,Joy,Happiness,0.07893142684840879
0.0032001739699561954,Joy,Joy,0.35025606016920086
0.0032001739699561954,Joy,Pride,0.28041140851967633
0.0032001739699561954,Joy,Sadness,0.016679587071791707
0.0032001739699561954,Joy,Shame,0.22951282644529084
0.0032001739699561954,Pride,Boredom,0.011720589170147856
0.0032001739699561954,Pride,Fear,0.022080912729150783
0.0032001739699561954,Pride,Happiness,0.13888012148992102
0.0032001739699561954,Pride,Joy,0.31077829847802546
0.0032001739699561954,Pride,Pride,0.2680196574588899
0.0032001739699561954,Pride,Sadness,0.019882971392750935
0.0032001739699561954,Pride,Shame,0.22863744928111412
0.0032001739699561954,Sadness,Boredom,0.008191327251604198
0.0032001739699561954,Sadness,Fear,0.25041843815520093
0.0032001739699561954,Sadness,Happiness,0.01872675287313545
0.0032001739699561954,Sadness,Joy,0.011337100024462874
0.0032001739699561954,Sadness,Pride,0.016860936893513347
0.0032001739699561954,Sadness,Sadness,0.5754669961150396
0.0032001739699561954,Sadness,Shame,0.11899844868704368
0.0032001739699561954,Shame,Boredom,0.0044947591638139685
0.0032001739699561954,Shame,Fear,0.4989240029697822
0.0032001739699561954,Shame,Happiness,0.012910556999905358
0.0032001739699561954,Shame,Joy,0.051645208781957164
0.0032001739699561954,Shame,Pride,0.03763090655351652
0.0032001739699561954,Shame,Sadness,0.2125142638688818
0.0032001739699561954,Shame,Shame,0.18188030166214278
0.003242248999084292,Boredom,Boredom,0.5253165127523197
0.003242248999084292,Boredom,Fear,0.006808680210635683
0.003242248999084292,Boredom,Happiness,0.3276285736517284
0.003242248999084292,Boredom,Joy,0.015640298858760334
0.003242248999084292,Boredom,Pride,0.06185469146973455
0.003242248999084292,Boredom,Sadness,0.01551245719431384
0.003242248999084292,Boredom,Shame,0.04723878586250749
0.003242248999084292,Fear,Boredom,0.002325403084916614
0.003242248999084292,Fear,Fear,0.5827037983083452
0.003242248999084292,Fear,Happiness,0.009003393852307449
0.003242248999084292,Fear,Joy,0.028686772397260817
0.003242248999084292,Fear,Pride,0.01660519479750075
0.003242248999084292,Fear,Sadness,0.24931878952684933
0.003242248999084292,Fear,Shame,0.11135664803282021
0.003242248999084292,Happiness,Boredom,0.19143773366032624
0.003242248999084292,Happiness,Fear,0.009538340501429798
0.003242248999084292,Happiness,Happiness,0.3251389670861463
0.003242248999084292,Happiness,Joy,0.06416402504982137
0.003242248999084292,Happiness,Pride,0.2360812251959114
0.003242248999084292,Happiness,Sadness,0.01758583213069901
0.003242248999084292,Happiness,Shame,0.15605387637566615
0.003242248999084292,Joy,Boredom,0.010037329165279019
0.003242248999084292,Joy,Fear,0.0403400867199353
0.003242248999084292,Joy,Happiness,0.09625118194380805
0.003242248999084292,Joy,Joy,0.3590210411262892
0.003242248999084292,Joy,Pride,0.27299680914232377
0.003242248999084292,Joy,Sadness,0.020265466997371726
0.003242248999084292,Joy,Shame,0.20108808490499314
0.003242248999084292,Pride,Boredom,0.014687066957676706
0.003242248999084292,Pride,Fear,0.0261984872310095
0.003242248999084292,Pride,Happiness,0.17714174389485313
0.003242248999084292,Pride,Joy,0.30521466445824547
0.003242248999084292,Pride,Pride,0.2589906765655884
0.003242248999084292,Pride,Sadness,0.021902025899256085
0.003242248999084292,Pride,Shame,0.19586533499337036
0.003242248999084292,Sadness,Boredom,0.009917920025521478
0.003242248999084292,Sadness,Fear,0.3202673980268746
0.003242248999084292,Sadness,Happiness,0.02165176084696973
0.003242248999084292,Sadness,Joy,0.011664203948168325
0.003242248999084292,Sadness,Pride,0.01618551558898508
0.003242248999084292,Sadness,Sadness,0.5146435832933384
0.003242248999084292,Sadness,Shame,0.10566961827014248
0.003242248999084292,Shame,Boredom,0.004307569506408507
0.003242248999084292,Shame,Fear,0.5315659332269984
0.003242248999084292,Shame,Happiness,0.01429475667067672
