Story,Anxiety,Despair,Irritation,Rage
Anxiety,0.722685,0.227384,0.041664,0.008268
Despair,0.001361,0.99664,0.000552,0.001447
Irritation,0.049777,0.043093,0.366462,0.540668
Rage,0.001817,0.015597,0.002383,0.980202
