Story,Happiness,Joy,Pride,Boredom,Fear,Sadness,Shame
Happiness,0.6,0.3,0.066667,0.033333,0.0,0.0,0.0
Joy,0.366667,0.6,0.033333,0.0,0.0,0.0,0.0
Pride,0.0,0.1,0.9,0.0,0.0,0.0,0.0
Boredom,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fear,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sadness,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shame,0.0,0.0,0.0,0.0,0.0,0.0,1.0
