Story,Anxiety,Despair,Irritation,Rage
Anxiety,0.376639,0.297718,0.201229,0.124414
Despair,0.082581,0.710884,0.088826,0.117709
Irritation,0.149988,0.171169,0.24762,0.431223
Rage,0.077438,0.179252,0.122129,0.621181
