Story,Happiness,Joy,Pride,Boredom,Fear,Sadness,Shame
Happiness,0.881175,0.001002,0.007149,0.101026,0.000252,0.000487,0.008909
Joy,0.000603,0.469977,0.490447,0.000206,0.001475,0.000823,0.036468
Pride,0.078503,0.010603,0.425988,0.021519,0.003777,0.002908,0.456703
Boredom,6e-06,0.000172,0.000173,0.999136,0.000125,0.00011,0.000279
Fear,0.000456,0.000533,0.00076,0.000312,0.98346,0.004938,0.00954
Sadness,0.000391,0.000781,0.000872,0.00018,0.005317,0.979806,0.012654
Shame,1.5e-05,2.3e-05,8.5e-05,5.5e-05,0.012531,6.8e-05,0.987223
