Story,Happiness,Joy,Pride,Boredom,Fear,Sadness,Shame
Happiness,0.328194,0.296094,0.299145,0.031286,0.023668,0.013038,0.008575
Joy,0.298515,0.289471,0.273073,0.033005,0.039655,0.037105,0.029175
Pride,0.316526,0.308261,0.33111,0.010599,0.019621,0.005826,0.008058
Boredom,0.121564,0.099558,0.12697,0.43573,0.025517,0.152004,0.038657
Fear,0.007827,0.008187,0.0168,0.010512,0.501786,0.295423,0.159466
Sadness,0.054709,0.067162,0.087241,0.048988,0.181447,0.514565,0.045888
Shame,0.00636,0.008069,0.009035,0.031519,0.30047,0.231893,0.412655
