Story,Anxiety,Despair,Irritation,Rage
Anxiety,0.512002,0.269267,0.211167,0.007564
Despair,0.001206,0.996728,0.000664,0.001403
Irritation,0.097443,0.051931,0.297656,0.55297
Rage,0.002094,0.014765,0.002107,0.981035
