Story,Anxiety,Despair,Irritation,Rage
Anxiety,0.322571,0.241843,0.267178,0.168407
Despair,0.279426,0.282119,0.23851,0.199944
Irritation,0.275058,0.21302,0.324508,0.187415
Rage,0.201854,0.226351,0.332371,0.239424
