Story,Happiness,Joy,Pride,Boredom,Fear,Sadness,Shame
Happiness,0.931606,0.000135,0.00378,0.058425,0.000104,0.000752,0.005198
Joy,0.000504,0.455185,0.471957,0.000413,0.00058,0.000488,0.070873
Pride,0.340783,0.051418,0.321765,0.056671,0.006075,0.010124,0.213163
Boredom,0.000831,1.5e-05,8e-06,0.999021,1e-05,0.00011,6e-06
Fear,9e-05,0.000192,0.000123,0.000486,0.967171,0.003214,0.028724
Sadness,0.000586,0.000201,0.000298,0.000671,0.00611,0.951599,0.040535
Shame,0.000138,9.4e-05,0.000544,0.000198,0.021064,0.000601,0.977362
