ID;Person;Story;Em.Anxiety;Em.Despair;Em.Irritation;Em.Rage;ACheck;mc.Anxiety;mc.Despair;mc.Irritation;mc.Rage;Time;sum;Emo.Anxiety;Emo.Despair;Emo.Irritation;Emo.Rage
5f5e4feb91f8b66e21ada6dc;Tom;Irritation;7;3;7;5;2;0;0;1;0;356;22;0.318181818;0.136363636;0.318181818;0.227272727
5f5e4feb91f8b66e21ada6dc;David;Rage;6;6;10;10;2;0;0;0;1;356;32;0.1875;0.1875;0.3125;0.3125
5cadb49e19bbcd0001c74a74;John;Anxiety;10;6;9;7;2;0;1;0;0;369;32;0.3125;0.1875;0.28125;0.21875
5cadb49e19bbcd0001c74a74;Frank;Despair;10;9;10;9;2;1;0;0;0;369;38;0.263157895;0.236842105;0.263157895;0.236842105
5cadb49e19bbcd0001c74a74;Tom;Irritation;6;4;8;5;1;0;0;1;0;369;23;0.260869565;0.173913043;0.347826087;0.217391304
5cadb49e19bbcd0001c74a74;David;Rage;6;6;7;6;2;0;0;0;1;369;25;0.24;0.24;0.28;0.24
5bcafe3035bc1500012c9141;John;Anxiety;9;8;6;5;2;1;0;0;0;316;28;0.321428571;0.285714286;0.214285714;0.178571429
5bcafe3035bc1500012c9141;Frank;Despair;5;8;8;6;2;0;1;0;0;316;27;0.185185185;0.296296296;0.296296296;0.222222222
5bcafe3035bc1500012c9141;Tom;Irritation;4;5;7;4;2;0;0;1;0;316;20;0.2;0.25;0.35;0.2
5bcafe3035bc1500012c9141;David;Rage;4;6;8;6;2;0;0;0;1;316;24;0.166666667;0.25;0.333333333;0.25
5f0658f0d27ca11c3c0bcc22;John;Anxiety;8;8;10;7;2;1;0;0;0;337;33;0.242424242;0.242424242;0.303030303;0.212121212
5f0658f0d27ca11c3c0bcc22;Frank;Despair;9;9;10;8;2;0;0;0;1;337;36;0.25;0.25;0.277777778;0.222222222
5f0658f0d27ca11c3c0bcc22;Tom;Irritation;6;5;9;4;2;0;1;0;0;337;24;0.25;0.208333333;0.375;0.166666667
5f0658f0d27ca11c3c0bcc22;David;Rage;2;4;9;5;2;0;0;1;0;337;20;0.1;0.2;0.45;0.25
5fbc18d75845f309a94d9141;John;Anxiety;7;6;7;4;1;1;0;0;0;437;24;0.291666667;0.25;0.291666667;0.166666667
5fbc18d75845f309a94d9141;Frank;Despair;6;8;8;5;2;0;1;0;0;437;27;0.222222222;0.296296296;0.296296296;0.185185185
5fbc18d75845f309a94d9141;Tom;Irritation;4;5;7;2;2;0;0;1;0;437;18;0.222222222;0.277777778;0.388888889;0.111111111
5fbc18d75845f309a94d9141;David;Rage;3;3;8;6;2;0;0;0;1;437;20;0.15;0.15;0.4;0.3
606eea56c7d09ce7806b16d2;John;Anxiety;10;10;9;7;2;1;0;0;0;324;36;0.277777778;0.277777778;0.25;0.194444444
606eea56c7d09ce7806b16d2;Frank;Despair;8;10;10;9;2;0;1;0;0;324;37;0.216216216;0.27027027;0.27027027;0.243243243
606eea56c7d09ce7806b16d2;Tom;Irritation;8;9;10;6;2;0;0;1;0;324;33;0.242424242;0.272727273;0.303030303;0.181818182
606eea56c7d09ce7806b16d2;David;Rage;7;10;10;9;2;0;0;0;1;324;36;0.194444444;0.277777778;0.277777778;0.25
5d4f3fb8bd127b0019c6dc04;John;Anxiety;6;5;6;4;2;1;0;0;0;552;21;0.285714286;0.238095238;0.285714286;0.19047619
5d4f3fb8bd127b0019c6dc04;Frank;Despair;8;8;7;7;1;0;0;0;1;552;30;0.266666667;0.266666667;0.233333333;0.233333333
5d4f3fb8bd127b0019c6dc04;Tom;Irritation;3;2;3;0;2;0;1;0;0;552;8;0.375;0.25;0.375;0
5d4f3fb8bd127b0019c6dc04;David;Rage;1;1;0;0;1;0;0;1;0;552;2;0.5;0.5;0;0
5df7eb98dc265f5903cd64b0;John;Anxiety;8;8;8;8;2;0;1;0;0;1308;32;0.25;0.25;0.25;0.25
5df7eb98dc265f5903cd64b0;Frank;Despair;10;10;9;9;2;1;0;0;0;1308;38;0.263157895;0.263157895;0.236842105;0.236842105
5df7eb98dc265f5903cd64b0;Tom;Irritation;7;7;9;7;2;0;0;1;0;1308;30;0.233333333;0.233333333;0.3;0.233333333
5df7eb98dc265f5903cd64b0;David;Rage;7;9;10;8;1;0;0;0;1;1308;34;0.205882353;0.264705882;0.294117647;0.235294118
5ca60f45bfa6ed0015aa5309;Frank;Despair;8;10;4;7;2;0;1;0;0;262;29;0.275862069;0.344827586;0.137931034;0.24137931
5ca60f45bfa6ed0015aa5309;David;Rage;2;7;10;10;2;0;0;0;1;262;29;0.068965517;0.24137931;0.344827586;0.344827586
5ca60f45bfa6ed0015aa5309;John;Anxiety;6;8;9;10;2;1;0;0;0;262;33;0.181818182;0.242424242;0.272727273;0.303030303
5ca60f45bfa6ed0015aa5309;Tom;Irritation;6;5;9;9;2;0;0;1;0;262;29;0.206896552;0.172413793;0.310344828;0.310344828
5d4f3fb8bd127b0019c6dc04;Frank;Despair;7;6;6;5;1;1;0;0;0;195;24;0.291666667;0.25;0.25;0.208333333
